Category|Ref|Req.|Included
NIST 800-53|NIST 800-53||
Access Control|AC-1|Access Control Policy and Procedures|x
Access Control|AC-2|Account Management|x
Access Control|AC-3|Access Enforcement|x
Access Control|AC-4|Information Flow Enforcement|x
Access Control|AC-6|Least Privilege|x
Access Control|AC-7|Unsuccessful Logon Attempts|x
Access Control|AC-11|Session Lock|x
Access Control|AC-12|Session Termination|x
Access Control|AC-17|Remote Access|x
Access Control|AC-18|Wireless Access|
Access Control|AC-19|Access Control for Mobile Devices|x
Access Control|AC-20|Use of External Information Systems|
Access Control|AC-23|Data Mining Protection|x
Access Control|AC-24|Access Control Decisions|x
Awareness and Training|AT-1|Security Awareness and Training Policy and Procedures|
Awareness and Training|AT-2|Security Awareness Training|x
Awareness and Training|AT-3|Role-Based Security Training|
Audit and Accountability|AU-2|Audit Events|x
Audit and Accountability|AU-3|Content of Audit Records|x
Audit and Accountability|AU-4|Audit Storage Capacity|x
Audit and Accountability|AU-5|Response to Audit Processing Failures|
Audit and Accountability|AU-6|Audit Review, Analysis, and Reporting|
Audit and Accountability|AU-7|Audit Reduction and Report Generation|
Audit and Accountability|AU-8|Time Stamps|x
Audit and Accountability|AU-9|Protection of Audit Information|x
Audit and Accountability|AU-10|Non-repudiation|x
Audit and Accountability|AU-11|Audit Record Retention|x
Audit and Accountability|AU-12|Audit Generation|x
Audit and Accountability|AU-13|Monitoring for Information Disclosure|x
Audit and Accountability|AU-14|Session Audit|x
Audit and Accountability|AU-15|Alternate Audit Capability|
Audit and Accountability|AU-16|Cross-Organizational Auditing|
Security Assessment and Authorization|CA-1|Security Assessment and Authorization Policies and Procedures|
Security Assessment and Authorization|CA-2|Security Assessments|
Security Assessment and Authorization|CA-3|System Interconnections|x
Security Assessment and Authorization|CA-4|Security Certification (Withdrawn) Incorporated into CA-2|x
Security Assessment and Authorization|CA-5|Plan of Action and Milestones|
Security Assessment and Authorization|CA-6|Security Authorization|
Security Assessment and Authorization|CA-7|Continuous Monitoring|x
Security Assessment and Authorization|CA-8|Penetration Testing|x
Security Assessment and Authorization|CA-9|Internal System Connections|
Configuration Management|CM-1|Configuration Management Policy and Procedures|x
Configuration Management|CM-2|Baseline Configuration|x
Configuration Management|CM-3|Configuration Change Control|
