Category|Ref|Req.|Included
OWASP-ASVS-Level-1|OWASP-ASVS-Level-1||
V1. Architecture, design and threat modelling|1.1|Verify that all application components are identified and are known to be needed.|x
V1. Architecture, design and threat modelling|1.2|Verify that all components, such as libraries, modules, and external systems, that are not part of the application but that the application relies on to operate are identified.|x
V1. Architecture, design and threat modelling|1.3|Verify that a high-level architecture for the application has been defined.|x
V1. Architecture, design and threat modelling|1.4|Verify that all application components are defined in terms of the business functions and/or security functions they provide.|x
V1. Architecture, design and threat modelling|1.5|Verify that all components that are not part of the application but that the application relies on to operate are defined in terms of the functions, and/or security functions, they provide.|x
V1. Architecture, design and threat modelling|1.6|Verify that a threat model for the target application has been produced and covers off risks associated with Spoofing, Tampering, Repudiation, Information Disclosure, and Elevation of privilege (STRIDE).|x
V1. Architecture, design and threat modelling|1.7|Verify all security controls (including libraries that call external security services) have a centralized implementation.|x
V1. Architecture, design and threat modelling|1.8|Verify that components are segregated from each other via a defined security control, such as network segmentation, firewall rules, or cloud based security groups.|x
V1. Architecture, design and threat modelling|1.9|Verify the application has a clear separation between the data layer, controller layer and the display layer, such that security decisions can be enforced on trusted systems.|x
V1. Architecture, design and threat modelling|1.10|Verify that there is no sensitive business logic, secret keys or other proprietary information in client side code.|x
V1. Architecture, design and threat modelling|1.11|Verify that all application components, libraries, modules, frameworks, platform, and operating systems are free from known vulnerabilities.|x
V2: Authentication Verification Requirements|2.1|Verify all pages and resources by default require authentication except those specifically intended to be public (Principle of complete mediation).|x
V2: Authentication Verification Requirements|2.2|Verify that forms containing credentials are not filled in by the application. Pre-filling by the application implies that credentials are stored in plaintext or a reversible format, which is explicitly prohibited. |x
V2: Authentication Verification Requirements|2.4|Verify all authentication controls are enforced on the server side.|x
V2: Authentication Verification Requirements|2.6|Verify all authentication controls fail securely to ensure attackers cannot log in.|x
V2: Authentication Verification Requirements|2.7|Verify password entry fields allow, or encourage, the use of passphrases, and do not prevent password managers, long passphrases or highly complex passwords being entered.|x
V2: Authentication Verification Requirements|2.8|Verify all account identity authentication functions (such as update profile, forgot password, disabled/lost token, help desk or IVR) that might regain access to the account are at least as resistant to attack as the primary authentication mechanism.|x
V2: Authentication Verification Requirements|2.9|Verify that the changing password functionality includes the old password, the new password, and a password confirmation.|x
V2: Authentication Verification Requirements|2.12|Verify that all authentication decisions can be logged, without storing sensitive session identifiers or passwords. This should include requests with relevant metadata needed for security investigations.|x
V2: Authentication Verification Requirements|2.13|Verify that account passwords are one way hashed with a salt, and there is sufficient work factor to defeat brute force and password hash recovery attacks. |x
V2: Authentication Verification Requirements|2.16|Verify that credentials are transported using a suitable encrypted link and that all pages/functions that require a user to enter credentials are done so using an encrypted link.|x
V2: Authentication Verification Requirements|2.17|Verify that the forgotten password function and other recovery paths do not reveal the current password and that the new password is not sent in clear text to the user.|x
V2: Authentication Verification Requirements|2.18|Verify that information enumeration is not possible via login, password reset, or forgot account functionality.|x
V2: Authentication Verification Requirements|2.19|Verify there are no default passwords in use for the application framework or any components used by the application (such as 'admin/password'.|x
V2: Authentication Verification Requirements|2.20|Verify that anti-automation is in place to prevent breached credential testing, brute forcing, and account lockout attacks.|x
V2: Authentication Verification Requirements|2.21|Verify that all authentication credentials for accessing services external to the application are encrypted and stored in a protected location.|x
V2: Authentication Verification Requirements|2.22|Verify that forgotten password and other recovery paths use a TOTP or other soft token, mobile push, or other offline recovery mechanism. Use of a random value in an e-mail or SMS should be a last resort and is known weak.|x
V2: Authentication Verification Requirements|2.23|Verify that account lockout is divided into soft and hard lock status, and these are not mutually exclusive. If an account is temporarily soft locked out due to a brute force attack, this should not reset the hard lock status.|x
V2: Authentication Verification Requirements|2.24|"Verify that if shared knowledge based questions (also known as ""secret questions"") are required, the questions do not violate privacy laws and are sufficiently strong to protect accounts from malicious recovery. "|x
V2: Authentication Verification Requirements|2.25|Verify that the system can be configured to disallow the use of a configurable number of previous passwords.|x
V2: Authentication Verification Requirements|2.26|Verify that risk based re-authentication, two factor or transaction signing is in place for high value transactions. |x
V2: Authentication Verification Requirements|2.27|Verify that measures are in place to block the use of commonly chosen passwords and weak passphrases.|x
V2: Authentication Verification Requirements|2.28|Verify that all authentication challenges, whether successful or failed, should respond in the same average response time.|x
V2: Authentication Verification Requirements|2.29|Verify that secrets, API keys, and passwords are not included in the source code, or online source code repositories.|x
V2: Authentication Verification Requirements|2.31|Verify that if an application allows users to authenticate, they can authenticate using two-factor authentication or other strong authentication, or any similar scheme that provides protection against username + password disclosure.|x
V2: Authentication Verification Requirements|2.32|Verify that administrative interfaces are not accessible to untrusted parties.|x
