Library modified: CS-Default.xml.
  --> [Modified] Threat 'CWE-937-WEB'. 
  --> [Modified] Threat 'CWE-937'. 
  --> [Modified] Countermeasure 'PATCH-SERVER'. 
  --> [Modified] Countermeasure 'CWE-120-MANAGED'. 
  --> [Modified] Countermeasure 'CWE-120-RANDOM'. 
  --> [Modified] Threat '7k-CWE-PoorCQ'. 
  --> [Modified] Threat '7k-CWE-ErrorH'. 
  --> [Modified] Threat '7k-CWE-InputVR'. 
  --> [Modified] Weakness 'CWE-388'. 
  --> [Modified] Weakness 'CWE-513'. 
  --> [Modified] Weakness 'CWE-517'. 
  --> [Modified] Weakness 'CWE-1005'. 
  --> [Modified] Weakness 'CWE-2'. 
  --> [Modified] Countermeasure 'ENV-USE'. 
  --> [Modified] Countermeasure 'INPUT-VAL'. 
  --> [Modified] Countermeasure 'INS-ENC'. 
  --> [Modified] Threat 'AUTH-DATASTORE-LEAST-PRIV'. 
  --> [Modified] Weakness 'CWE-250'. 
  --> [Modified] Countermeasure 'RESTRICT-ACCESS-DATABASE'. 
  --> [Modified] Threat 'NTW-MITM'. 
  --> [Modified] Countermeasure 'CWE-319-TRANSPORT'. 
  --> [Modified] Countermeasure 'CS-CLIENT-SECRET'. 
  --> [Modified] Threat 'CAPEC-21'. 
  --> [Modified] Weakness 'CWE-602'. 
  --> [Modified] Countermeasure 'AVOID-API-KEYS'. 
  --> [Modified] Countermeasure 'CWE-312'. 
  --> [Modified] Countermeasure 'CSD-PWD-MEM'. 
  --> [Modified] Threat 'VULN-SERVICE'. 
  --> [Modified] Weakness 'CWE-284'. 
  --> [Modified] Countermeasure 'CDS-USER-TRACK'. 
  --> [Modified] Countermeasure 'CWE-521'. 
  --> [Modified] Countermeasure 'CWE-662'. 
  --> [Deleted] Use case 'POST DATA'. 
  --> [Modified] Threat 'SOURCE-LEAK'. 
  --> [Modified] Threat 'CAPEC-172'. 
  --> [Modified] Threat 'CAPEC-130'. 
  --> [Modified] Threat 'CAPEC-300'. 
  --> [Modified] Countermeasure 'CWE-319-TRANSPORT'. 
  --> [Modified] Countermeasure 'CWE-799'. 
  --> [Modified] Countermeasure 'CWE-541'. 
  --> [Modified] Countermeasure 'OTG-BUSLOGIC-006'. 
  --> [Modified] Countermeasure '2FA-Token-compromise'. 
  --> [Modified] Countermeasure 'CSD-ADM-TRUST'. 
  --> [Modified] Threat 'CAPEC-232'. 
  --> [Modified] Threat 'CAPEC-215'. 
  --> [Modified] Threat 'CAPEC-122'. 
  --> [Modified] Countermeasure 'CWE-654'. 
  --> [Modified] Countermeasure 'ASVS-8.2'. 
  --> [Modified] Countermeasure 'ASVS-8.1'. 
  --> [Modified] Countermeasure 'ACCESS-CONTROL-CENTRALIZED'. 
  --> [Modified] Threat 'FILE-MAL-UPLOAD'. 
  --> [Modified] Weakness 'UNTRUSTED-FILE-HANDLING'. 
  --> [Modified] Countermeasure 'WEB-EXEC-DATA'. 
  --> [Modified] Countermeasure 'WEB-FILE-DATA'. 
  --> [Modified] Countermeasure 'FILE-SCAN'. 
  --> [Modified] Countermeasure 'FILE-DATA-CHECK'. 
  --> [Modified] Threat 'CAPEC-59'. 
  --> [Modified] Countermeasure 'CWE-384'. 
  --> [Modified] Countermeasure 'CWE-331'. 
  --> [Modified] Countermeasure 'CWE-613-LOGOUT'. 
  --> [Modified] Countermeasure 'CWE-330'. 
  --> [Modified] Threat 'CSD-AUTH-HASH'. 
  --> [Modified] Threat 'CAPEC-16'. 
  --> [Modified] Threat 'CWE-204-USERNAME-LOGIN'. 
  --> [Modified] Weakness 'CWE-916'. 
  --> [Modified] Countermeasure 'CWE-654'. 
  --> [Modified] Countermeasure 'CWE-255-PWD-CHANGE'. 
  --> [Modified] Countermeasure 'CWE-521'. 
  --> [Modified] Countermeasure 'CWE-256'. 
  --> [Modified] Countermeasure 'CWE-319-TRANSPORT'. 
  --> [Modified] Threat 'CAPEC-201'. 
  --> [Modified] Countermeasure 'WEB-SRV-XML'. 
  --> [Modified] Countermeasure 'XPATH-ESCAPE'. 
  --> [Modified] Countermeasure 'DATA-VAL'. 
  --> [Modified] Threat 'CAPEC-117'. 
  --> [Modified] Threat 'open-redirect-threat'. 
  --> [Modified] Threat 'CAPEC-101'. 
  --> [Modified] Weakness 'CWE-915'. 
  --> [Modified] Weakness 'CWE-650'. 
  --> [Modified] Weakness 'CWE-601'. 
  --> [Modified] Countermeasure 'CWE-639'. 
  --> [Modified] Countermeasure 'ASVS-11.5'. 
  --> [Modified] Countermeasure 'RESTRICT-HTTP-METHODS'. 
  --> [Modified] Countermeasure 'CWE-98-LIB'. 
  --> [Modified] Countermeasure 'CWE-147'. 
  --> [Modified] Threat 'FILE-MAL-UPLOAD'. 
  --> [Modified] Weakness 'WEB-PATH-ROOT'. 
  --> [New] Weakness 'CWE-94'. 
  --> [New] Weakness 'UNTRUSTED-FILE-HANDLING'. 
  --> [Modified] Countermeasure 'ASVS-16.6'. 
  --> [New] Countermeasure 'WEB-EXEC-DATA'. 
  --> [New] Countermeasure 'WEB-FILE-DATA'. 
  --> [New] Countermeasure 'FILE-SCAN'. 
  --> [New] Countermeasure 'FILE-DATA-CHECK'. 
  --> [Modified] Threat 'CAPEC-61'. 
  --> [Modified] Countermeasure 'CSD-PWD-CHG'. 
  --> [Modified] Countermeasure 'RENEW-SESSION'. 
  --> [Modified] Countermeasure 'CSD-SESS-FED'. 
  --> [Modified] Countermeasure 'ASVS-2014-3.6'. 
  --> [New] Countermeasure 'CWE-384'. 
  --> [New] Countermeasure 'LIMIT-ACTIVE-SESSIONS'. 
  --> [Modified] Threat 'CAPEC-136'. 
  --> [Modified] Countermeasure 'CWE-150-LDAP'. 
  --> [Modified] Threat 'CWE-778-AUTH'. 
  --> [Modified] Threat 'EU-GDPR-DATA_LEAKAGE-UNAUTHZ-PARTIES'. 
  --> [Modified] Countermeasure 'LOGS-INTEGRITY'. 
  --> [Modified] Countermeasure 'ASVS-8.8'. 
  --> [Modified] Countermeasure 'CSD-VAL-LOG'. 
  --> [Modified] Countermeasure 'CDS-USER-TRACK'. 
  --> [Modified] Countermeasure 'CWE-662'. 
  --> [Modified] Threat 'CAPEC-167'. 
  --> [Modified] Weakness 'CWE-312'. 
  --> [Modified] Countermeasure 'CWE-312-ENCRYPT'. 
  --> [Modified] Threat 'W3C-PLUGINS'. 
  --> [Modified] Weakness 'IR-W3C-PLUGINS'. 
  --> [Modified] Countermeasure 'CWE-311'. 
  --> [Modified] Countermeasure 'CSD_PWD-REC-Q'. 
  --> [Modified] Countermeasure 'CSD-PWD-OFF-CHAN'. 
  --> [Modified] Countermeasure 'CSD-PWD-OFF-CHAN'. 
  --> [Modified] Countermeasure 'CSD-PWD-OFF-CHAN'. 
  --> [Modified] Weakness 'CWE-693'. 
  --> [Modified] Weakness 'CWE-327'. 
  --> [Modified] Countermeasure 'STRONG-ALGORITHMS-PROTOCOLS'. 
  --> [Modified] Countermeasure 'CWE-330'. 
  --> [Modified] Countermeasure 'ASVS-7.2'. 
  --> [Modified] Countermeasure 'CWE-799'. 
  --> [Modified] Threat 'BACKUP-COMPROMISE'. 
  --> [Modified] Countermeasure 'CWE-311-AT-REST'. 
  --> [Modified] Threat 'PRE-PROD'. 
  --> [Modified] Countermeasure 'CWE-319-TRANSPORT'. 
  --> [Modified] Countermeasure 'CWE-485-PREPROD'. 
  --> [Modified] Countermeasure 'STRONG-ALGORITHMS-PROTOCOLS'. 
  --> [Modified] Countermeasure 'CWE-319-TRANSPORT'. 
  --> [Modified] Threat 'IRIUS-TRUST-SERVICE'. 
