Risk Pattern id,Risk Pattern name,Use case name,Threat id,Threat name,Threat desc,Threat references,Weakness id,Weakness name,Weakness desc,Weakness references,Countermeasure id,Countermeasure name,Countermeasure desc,Countermeasure test steps,Countermeasure references
HYDRAS-AWS-EC2,AWS EC2,Amazon Web Services,UNAUTHORIZED-CONNECTION,Attackers gain access to the systems through direct access,"Attackers gain a unathorized connection to the system through misconfigured ports or
security network configurations.",,AWS-NET-01,Unauthorised connection attempts are allowed on open ports,"Receiving unauthorized connections to open ports is most likely to be receiving an attack. To
avoid this, access to the network must be as restricted as possible, so that only the necessary
ports are open and the minimum inbound traffic is accepted.",,Hydras-AWS-Network-5.5,Use security groups to block ingress to all ports from 0.0.0.0/0,"Security groups are analagous to firewalls and therefore provide stateful filtering of
ingress/egress network traffic to AWS resources. It is recommeneded to limit inbound access to
ALL TCP or ALL ports to avoid undue server exposure.



<b>Remediation:</b>



-Login to the AWS Management Console (with VPC update).
-Select VPC from the services menu.
-Select Security Groups.
-For each security group, perform the following:&nbsp;

-Select the security group.
-Click the Inbound tab.
-Identify the rules to be removed.
-Click the x in the Remove column.
-Click Save.

Content provided by
<a href=""https://hydrasit.com"" target=""_blank""> Hydras IT LTD</a>","-Login to the AWS Management Console.&nbsp;
-Select VPC from the services menu.&nbsp;
-Select Security Groups.
-For each security group, perform the following:&nbsp;

-Select the security group.&nbsp;
-Click the Inbound tab.
-Ensure no rule exists that has a port range of 0-1024 of 0-65535 and has a source
of 0.0.0.0/0.",
HYDRAS-AWS-EC2,AWS EC2,Amazon Web Services,UNAUTHORIZED-CONNECTION,Attackers gain access to the systems through direct access,"Attackers gain a unathorized connection to the system through misconfigured ports or
security network configurations.",,AWS-NET-01,Unauthorised connection attempts are allowed on open ports,"Receiving unauthorized connections to open ports is most likely to be receiving an attack. To
avoid this, access to the network must be as restricted as possible, so that only the necessary
ports are open and the minimum inbound traffic is accepted.",,Hydras-AWS-Network-5.6,Restrict all traffic with the default security group,"Security groups are analagous to firewalls and therefore provide stateful filtering of
ingress/egress network traffic to AWS resources. It is recommended to limit all traffic
(ingress/egress) on the default security group in order to force the use of least privilege via
custom created security groups.



<b>Remediation:</b>



-Identify AWS resources that exist within the default security group.
-Create a set of least privilege security groups for those resources.
-Place the resources in those security groups.
-Remove the resources noted in 1 from the default security group.
Content provided by
<a href=""https://hydrasit.com"" target=""_blank""> Hydras IT LTD</a>","-Login to the AWS Management Console.
-Select VPC from the services menu.
-Select Security Groups.
-For each security group, perform the following:&nbsp;

-Select the default security group.
-Click the Inbound Rules tab.
-Ensure no rule exist.
-Click the Outbound Rules tab.&nbsp;
-Ensure no rules exist.",
HYDRAS-AWS-EC2,AWS EC2,Amazon Web Services,UNAUTHORIZED-CONNECTION,Attackers gain access to the systems through direct access,"Attackers gain a unathorized connection to the system through misconfigured ports or
security network configurations.",,AWS-NET-02,Unauthorised connection attempts are allowed on port 22,"Receiving unauthorized connections to port 22 is most likely to be receiving an SSH attack. To
avoid this, access to the network must be as restricted as possible, so that only the necessary
ports are open and the minimum inbound traffic is accepted.",,Hydras-AWS-Network-5.3,Use security groups to block ingress to port 22 from 0.0.0.0/0,"Security groups are analagous to firewalls and therefore provide stateful filtering of
ingress/egress network traffic to AWS resources. It is recommeneded to limit inbound access to
port 22 (SSH) to IP addresses that require this access to avoid undue exposure to risk.



<b>Remediation:</b>



-Login to the AWS Management Console (with VPC update)&nbsp;
-Select VPC from the services menu&nbsp;
-Select Security Groups&nbsp;
-For each security group, perform the following:&nbsp;

-Select the security group.
-Click the Inbound tab.
-Identify the rules to be removed.
-Click the x in the Remove column.
-Click Save.

 Content provided by
<a href=""https://hydrasit.com"" target=""_blank""> Hydras IT LTD</a>","-Login to the AWS Management Console.&nbsp;
-Select VPC from the services menu.&nbsp;
-Select Security Groups.
-For each security group, perform the following:&nbsp;

-Select the security group.&nbsp;
-Click the Inbound tab.
-Ensure no rule exists that has a port range that includes port 22 and has a source
of 0.0.0.0/0.

NB: Note that if the port range includes 0-1024 or 0-65535 these also include
port 22",
HYDRAS-AWS-EC2,AWS EC2,Amazon Web Services,UNAUTHORIZED-CONNECTION,Attackers gain access to the systems through direct access,"Attackers gain a unathorized connection to the system through misconfigured ports or
security network configurations.",,AWS-NET-03,Unauthorised connection attempts are allowed on port 3389,"Receiving unauthorized connections to port 3389 is most likely to be receiving an RDP attack.
To avoid this, access to the network must be as restricted as possible, so that only the
necessary ports are open and the minimum inbound traffic is accepted.",,Hydras-AWS-Network-5.4,Use security groups to block ingress to port 3389 from 0.0.0.0/0,"Security groups are analagous to firewalls and therefore provide stateful filtering of
ingress/egress network traffic to AWS resources. It is recommeneded to limit inbound access to
port 3389 (RDP) to IP addresses that require this access to avoid undue exposure to risk.



<b>Remediation:</b>



-Login to the AWS Management Console (with VPC update).
-Select VPC from the services menu.
-Select Security Groups.
-For each security group, perform the following:

-Select the security group.
-Click the Inbound tab.
-Identify the rules to be removed.
-Click the x in the Remove column.
-Click Save&nbsp;

Content provided by
<a href=""https://hydrasit.com"" target=""_blank""> Hydras IT LTD</a>","-Login to the AWS Management Console.&nbsp;
-Select VPC from the services menu.&nbsp;
-Select Security Groups.&nbsp;
-For each security group, perform the following:&nbsp;

-Select the security group.&nbsp;
-Click the Inbound tab.
-Ensure no rule exists that has a port range that includes port 22 and has a source
of 0.0.0.0/0.

NB: Note that if the port range includes 0-1024 or 0-65535 these also include
port 3389",
HYDRAS-AWS-EC2,AWS EC2,Amazon Web Services,NON-UPDATED-SYSTEMS-AWS,Attackers gain unauthorised access to data on EC2 instances,"Attackers cloud gain access to data on EC2 instances through the weaknesses
in non-updated systems.",,AWS-EC2-6.2,The instances are not patched,"The instances are not patched with the last updates for the correspondent Operative System
(OS), and the instances have got weaknesses which are solved in the last updates.",,Hydras-AWS-EC2-6.2,Maintain a patch policy and patch EC2 systems regularly ,"Patching instances ensures that packages within the Operating System (OS) are updated to the
latest version and/or have security fixes applied. It is recommended to patch EC2 instances
every 90 days (or immediately if security patches become available) to avoid undue exposure




<b>Remediation:</b>



-For linux instances ensure your OS is updated as per:
http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/managing-software.html&nbsp;
-For Windows instances ensure your OS is updated as per:
http://docs.aws.amazon.com/AWSEC2/latest/WindowsGuide/windows-ami-version-history.html#update-windows-instance
Content provided by
<a href=""https://hydrasit.com"" target=""_blank""> Hydras IT LTD</a>","-Ensure you have a documented patching policy.
-Ensure your systems have been patched at least every 90 days.",
HYDRAS-AWS-EC2,AWS EC2,Amazon Web Services,NON-UPDATED-SYSTEMS-AWS,Attackers gain unauthorised access to data on EC2 instances,"Attackers cloud gain access to data on EC2 instances through the weaknesses
in non-updated systems.",,AWS-NET-04,Unauthorised connection attempts are allowed on Azure resources,"Receiving unauthorized connections to Azure resources is most likely to be receiving an
attack. To avoid this, access to the network must be as restricted as possible using Network
Access Control Lists for blacklisting.",,Hydras-AWS-Network-5.7,Use Network Access Control Lists (NACLs) for blacklisting,"Network Access Control Lists (NACLs) act as packet filters across subnets, allowing or deny
traffic per pre-created rules. It is recommened to use NACLs as a method of blacklisting IP
addresses, denying either inbound or outbound access across your subnets.&nbsp;

&nbsp;


<b>Remediation:</b>



-Login to the AWS Management Console (with VPC update).
-Select VPC from the services menu.
-Select Network ACL's.
-For each Network ACL ID, perform the following:

-Select the Inbound Rules tab.
-Click edit.
-add a DENY rule that will restrict inbound access from a blacklisted IP address or
range to a designated port or IP range.

Content provided by
<a href=""https://hydrasit.com"" target=""_blank""> Hydras IT LTD</a>","-Login to the AWS Management Console.
-Select VPC from the services menu.
-Select Network ACLs.
-For each Network ACL ID, perform the following:&nbsp;



-Click the Inbound Rules tab.
-Ensure a rule exists the DENY's access from a blacklisted IP or range.
-Click the Outbound Rules tab.
-Ensure a rule exists the DENY's access to a blacklisted IP or range.",
HYDRAS-AWS-ELB,AWS ELB,Amazon Web Services,EAVESDROPPING-COMMUNICATIONS,An attacker eavesdrops on the communication between the client and server and decrypts the data.,"Eavesdropping on communication is a network attack that captures small packets
transmitted by other computers and reads the data content. This type of network attack
is most effective when weak encryption services are used. An attacker could eavesdrop on
the communication between the client and server and decrypt the encrypted data.",,CWE-295,Improper Certificate Validation,"The software does not validate, or incorrectly validates, a
certificate.",,aws-tier-1.12,Add SSL/TLS Certificate to App Tier ELB,"When you use HTTPS for your front-end listener, you must deploy an SSL/TLS certificate on your
load balancer. The load balancer uses the certificate to terminate the connection and then
decrypt requests from clients before sending them to the back-end instances.



 The SSL\TLS protocol uses an X.509 certificate (SSL\TLS server certificate) to
authenticate both the client and the back-end application. An X.509 certificate is a digital
form of identification issued by a trusted certificate authority (CA) and contains
identification information, a validity period, a public key, a serial number, and the digital
signature of the issuer.



 You can create a certificate using a Third Party Certificate Authority, AWS
Certificate Manager or a self signed certificate like OpenSSL.



 Note: an SSL certificate configured on the ELB is not mandatory if you are
terminating SSL connections directly on the App Tier EC2 instances, and using a TCP listener on
the ELB (TCP pass-through)



 All the application traffic between the Web Tier instances and the App Tier ELB
nodes should be encrypted using an SSL\TLS certificate.


<b>Remediation:</b> Using the Amazon unified command line interface:

-Adding a HTTPS listener configured with a SSL\TLS certificate (the listener forwards
traffic to the backend instances on port 80, but this can be modified by editing
InstancePort=80): 

<blockquote>
aws elb create-load-balancer-listeners --load-balancer-name &lt;span style=&quot;font-style:
italic;&quot;&gt;&lt;app_tier_elb&lt;/span&gt;&gt; --listeners
Protocol=HTTPS,LoadBalancerPort=443,InstanceProtocol=HTTP,InstancePort=80, SSLCertificateId=&lt;span
style=&quot;font-style: italic;&quot;&gt;&lt;ssl_certificate_arn&gt;&lt;/span&gt;
</blockquote>","Using the Amazon unified command line interface:


(Note that you should replace &lt;app\_tier\_elb&gt; with your App-tier ELB name)



-Note that if the ListenerDescriptions is empty, the ELB does not have a listener
configured with a SSL\TLS certificate, or a TCP listener (TCP pass-through):


<blockquote>
<blockquote>

aws elb describe-load-balancers --load-balancer-names &lt;span style=&quot;font-style:
italic;&quot;&gt;&lt;app_tier_elb&lt;/span&gt;&gt; --query &quot;LoadBalancerDescriptions[*].{LoadBalancerName:LoadBalancerName,
DNSName:DNSName, Scheme:Scheme,
ListenerDescriptions:ListenerDescriptions[?Listener.SSLCertificateId != null ||
Listener.Protocol == 'TCP']}&quot; --output table

</blockquote>
</blockquote>","http://docs.aws.amazon.com/cli/latest/reference/elb/describe-load-balancers.html
http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/elb-add-or-delete-listeners.html#add-listener-cl"
HYDRAS-AWS-ELB,AWS ELB,Amazon Web Services,EAVESDROPPING-COMMUNICATIONS,An attacker eavesdrops on the communication between the client and server and decrypts the data.,"Eavesdropping on communication is a network attack that captures small packets
transmitted by other computers and reads the data content. This type of network attack
is most effective when weak encryption services are used. An attacker could eavesdrop on
the communication between the client and server and decrypt the encrypted data.",,CWE-295,Improper Certificate Validation,"The software does not validate, or incorrectly validates, a
certificate.",,aws-tier-1.9,Add SSL/TLS Certificate to Web Tier ELB,"When you use HTTPS for your front-end listener, you must deploy an SSL/TLS certificate on your
load balancer. The load balancer uses the certificate to terminate the connection and then
decrypt requests from clients before sending them to the back-end instances.






The TLS protocol uses an X.509 certificate (SSL/TLS server certificate) to authenticate both the
client and the back-end application. An X.509 certificate is a digital form of identification
issued by a trusted certificate authority (CA) and contains identification information, a
validity period, a public key, a serial number, and the digital signature of the issuer.






You can create a certificate using a Third Party Certificate Authority or AWS Certificate
Manager.






Note: an SSL certificate configured on the ELB is not mandatory if you are terminating SSL
connections directly on the Web Tier EC2 instances, and using a TCP listener on the ELB (TCP
pass-through)






All the application traffic between the clients and the Web Tier ELB nodes should be encrypted
using a SSL/TLS certificate.






<b>Remediation:</b>


<div style="""">
Using the Amazon unified command line interface:

<div style="""">

-Adding a HTTPS listener configured with a SSL/TLS certificate (the listener forwards
traffic to the backend instances on port 80, but this can be modified by editing
InstancePort=80):



<blockquote>
<blockquote>

<div style="""">
aws elb create-load-balancer-listeners --load-balancer-name &lt;span style=&quot;font-style:
italic;&quot;&gt;&lt;web_tier_elb&gt;&lt;/span&gt; --listeners
Protocol=HTTPS,LoadBalancerPort=443,InstanceProtocol=HTTP,InstancePort=80, SSLCertificateId=&lt;em&gt;&lt;ssl_certificate_arn&gt;&lt;/em&gt;


</blockquote>
</blockquote>","Using the Amazon unified command line interface:


(Note that you should replace &lt;web\_tier\_elb&gt; with your Web-tier ELB name)



-Note that if the ListenerDescriptions element is empty, the ELB does not have a
listener configured with a SSL/TLS certificate, or a TCP listener (TCP pass-through):


<blockquote>
<blockquote>

aws elb describe-load-balancers --load-balancer-names &lt;span style=&quot;font-style:
italic;&quot;&gt;&lt;web_tier_elb&gt;&lt;/span&gt; --query &quot;LoadBalancerDescriptions[*].{LoadBalancerName:LoadBalancerName,
DNSName:DNSName, Scheme:Scheme,
ListenerDescriptions:ListenerDescriptions[?Listener.SSLCertificateId != null ||&nbsp;
Listener.Protocol == 'TCP']}&quot; --output table

</blockquote>
</blockquote>","http://docs.aws.amazon.com/cli/latest/reference/elb/describe-load-balancers.html
http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/elb-add-or-delete-listeners.html#add-listener-cl"
HYDRAS-AWS-ELB,AWS ELB,Amazon Web Services,EAVESDROPPING-COMMUNICATIONS,An attacker eavesdrops on the communication between the client and server and decrypts the data.,"Eavesdropping on communication is a network attack that captures small packets
transmitted by other computers and reads the data content. This type of network attack
is most effective when weak encryption services are used. An attacker could eavesdrop on
the communication between the client and server and decrypt the encrypted data.",,CWE-326,Inadequate Encryption Strength,"The software stores or transmits sensitive data using an encryption scheme that is
theoretically sound, but is not strong enough for the level of protection required.",,Hydras-AWS-ELB-01,Use the Perfect Forward Secrecy feature,"For greater communication privacy Elastic Load Balancing allows the use of Perfect Forward
Secrecy. This feature provides additional safeguards against eavesdropping on encrypted data,
through the use of a unique random session key, and therefore prevents the decoding of captured
data, even if the secret long-term key is compromised.




<b>To begin using Perfect Forward Secrecy: 
</b>Configure your load
balancer with the newly added Elliptic Curve Cryptography (ECDHE) cipher suites.","Check that your load balancer is configured with the newly added Elliptic Curve
Cryptography (ECDHE) cipher suites.",
HYDRAS-AWS-ELB,AWS ELB,Amazon Web Services,EAVESDROPPING-COMMUNICATIONS,An attacker eavesdrops on the communication between the client and server and decrypts the data.,"Eavesdropping on communication is a network attack that captures small packets
transmitted by other computers and reads the data content. This type of network attack
is most effective when weak encryption services are used. An attacker could eavesdrop on
the communication between the client and server and decrypt the encrypted data.",,CWE-326,Inadequate Encryption Strength,"The software stores or transmits sensitive data using an encryption scheme that is
theoretically sound, but is not strong enough for the level of protection required.",,Hydras-AWS-ELB-02,Select the Server Order Preference option,"Within Elastic Load Balancing ensure the use of newer and stronger cipher suites when
establishing a new connection supporting the Server Order Preference option. When this option is
selected, the load balancer selects the first cipher in its list that is in the client's list of
ciphers.




<b> <b>Remediation:</b> </b>

To enable Server Order Preference:



-Open the Amazon EC2 console.&nbsp;
-Under LOAD BALANCING, choose Load Balancers.

-Select your Load Balancer.

-On the Listeners tab, for Cipher, choose Change.

-On the Select a Cipher page, select Custom Security Policy.

-For SSL Options, select Server Order Preference.

-Click Save.","-Open the Amazon EC2 console.&nbsp;
-Under LOAD BALANCING, choose Load Balancers.

-Select your Load Balancer.

-On the Listeners tab, for Cipher, choose Change.

-On the Select a Cipher page, select Custom Security Policy.

-For SSL Options, check that the option Server Order Preference is selected.",
